product_id,quantity,message,status
SDL100494179,0,Duplicate update requests,Failed
SDL220068336,19,Duplicate update requests,Failed
SDL911382565,7,Duplicate update requests,Failed
SDL562999656,50,Duplicate update requests,Failed
SDL955529018,0,Duplicate update requests,Failed
SDL456725133,0,Duplicate update requests,Failed
SDL250624942,0,Duplicate update requests,Failed
SDL616290555,0,Duplicate update requests,Failed
SDL775226868,0,Duplicate update requests,Failed
SDL982494590,38,Duplicate update requests,Failed
SDL626913856,50,Duplicate update requests,Failed
SDL580282293,0,Duplicate update requests,Failed
SDL059126517,0,Duplicate update requests,Failed
SDL092738834,0,Duplicate update requests,Failed
SDL750705785,10,Duplicate update requests,Failed
SDL972438019,0,Duplicate update requests,Failed
SDL066221938,0,Duplicate update requests,Failed
SDL562999656,50,Duplicate update requests,Failed
SDL997706799,0,Duplicate update requests,Failed
SDL002169106,0,Duplicate update requests,Failed
SDL970591155,27,Duplicate update requests,Failed
SDL929714879,0,Duplicate update requests,Failed
SDL318079480,0,Duplicate update requests,Failed
SDL120805652,0,Duplicate update requests,Failed
SDL930542710,0,Duplicate update requests,Failed
SDL085647251,0,Duplicate update requests,Failed
SDL901015988,50,Duplicate update requests,Failed
SDL220068336,21,Duplicate update requests,Failed
SDL313355254,50,Duplicate update requests,Failed
SDL452988886,0,Duplicate update requests,Failed
SDL396590474,0,Duplicate update requests,Failed
SDL144499391,4,Duplicate update requests,Failed
SDL315892143,1,Duplicate update requests,Failed
SDL778992522,0,Duplicate update requests,Failed
SDL315892143,0,Duplicate update requests,Failed
SDL468453954,4,Duplicate update requests,Failed
SDL390231359,50,Duplicate update requests,Failed
SDL748567747,50,Duplicate update requests,Failed
SDL668701035,1,Duplicate update requests,Failed
SDL771615545,0,Duplicate update requests,Failed
SDL561505826,0,Duplicate update requests,Failed
SDL956162700,13,Duplicate update requests,Failed
SDL228902117,0,Duplicate update requests,Failed
SDL005558215,7,Duplicate update requests,Failed
SDL956162700,11,Duplicate update requests,Failed
SDL638145236,23,Duplicate update requests,Failed
SDL786355529,15,Duplicate update requests,Failed
SDL096845107,50,Duplicate update requests,Failed
SDL639874396,0,Duplicate update requests,Failed
SDL904788476,0,Duplicate update requests,Failed
SDL208691433,48,Duplicate update requests,Failed
SDL930542710,0,Duplicate update requests,Failed
SDL998028784,0,Duplicate update requests,Failed
SDL753760144,0,Duplicate update requests,Failed
SDL831783471,0,Duplicate update requests,Failed
SDL913958409,0,Duplicate update requests,Failed
SDL372936234,0,Duplicate update requests,Failed
SDL935162166,0,Duplicate update requests,Failed
SDL484370898,0,Duplicate update requests,Failed
SDL250023505,50,Duplicate update requests,Failed
SDL752617014,0,Duplicate update requests,Failed
SDL233029423,0,Duplicate update requests,Failed
SDL595075740,0,Duplicate update requests,Failed
SDL586280125,0,Duplicate update requests,Failed
SDL808391330,0,Duplicate update requests,Failed
SDL324803408,0,Duplicate update requests,Failed
SDL549724627,0,Duplicate update requests,Failed
SDL749338124,3,Duplicate update requests,Failed
SDL309582408,0,Duplicate update requests,Failed
SDL600134049,0,Duplicate update requests,Failed
SDL945832339,0,Duplicate update requests,Failed
SDL194857119,50,Duplicate update requests,Failed
SDL277535847,0,Duplicate update requests,Failed
SDL727990651,0,Duplicate update requests,Failed
SDL929593523,0,Duplicate update requests,Failed
SDL780014199,50,Duplicate update requests,Failed
SDL257413580,0,Duplicate update requests,Failed
SDL782964644,42,Duplicate update requests,Failed
SDL948612664,0,Duplicate update requests,Failed
SDL595537348,0,Duplicate update requests,Failed
SDL235682592,0,Duplicate update requests,Failed
SDL250624942,0,Duplicate update requests,Failed
SDL930542710,0,Duplicate update requests,Failed
SDL917082795,0,Duplicate update requests,Failed
SDL456725133,0,Duplicate update requests,Failed
SDL782964644,0,Duplicate update requests,Failed
SDL411697199,0,Duplicate update requests,Failed
SDL931083038,19,Duplicate update requests,Failed
SDL517848528,5,Duplicate update requests,Failed
SDL787084366,0,Duplicate update requests,Failed
SDL479240525,1,Duplicate update requests,Failed
SDL001992015,0,Duplicate update requests,Failed
SDL248653353,50,Duplicate update requests,Failed
SDL489588143,29,Duplicate update requests,Failed
SDL622569136,50,Duplicate update requests,Failed
SDL548617847,50,Duplicate update requests,Failed
SDL987930114,0,Duplicate update requests,Failed
SDL932341812,0,Duplicate update requests,Failed
SDL810182484,6,Duplicate update requests,Failed
SDL558738331,0,Duplicate update requests,Failed
SDL250111146,0,Duplicate update requests,Failed
SDL911078464,50,Duplicate update requests,Failed
SDL272329497,0,Duplicate update requests,Failed
SDL234404467,0,Duplicate update requests,Failed
SDL384675806,0,Duplicate update requests,Failed
SDL478957219,6,Duplicate update requests,Failed
SDL454785008,0,Duplicate update requests,Failed
SDL608857698,30,Duplicate update requests,Failed
SDL076358065,0,Duplicate update requests,Failed
SDL166681748,0,Duplicate update requests,Failed
SDL551674439,0,Duplicate update requests,Failed
SDL903748746,0,Duplicate update requests,Failed
SDL040808439,0,Duplicate update requests,Failed
SDL443706109,0,Duplicate update requests,Failed
SDL541780373,0,Duplicate update requests,Failed
SDL420374177,0,Duplicate update requests,Failed
SDL100494179,50,Duplicate update requests,Failed
SDL972438019,0,Duplicate update requests,Failed
SDL059126517,0,Duplicate update requests,Failed
SDL786355529,41,Duplicate update requests,Failed
SDL304138641,0,Duplicate update requests,Failed
SDL605268256,50,Duplicate update requests,Failed
SDL211905013,15,Duplicate update requests,Failed
SDL420374177,0,Duplicate update requests,Failed
SDL456327015,50,Duplicate update requests,Failed
SDL484370898,0,Duplicate update requests,Failed
SDL304138641,49,Duplicate update requests,Failed
SDL725662961,0,Duplicate update requests,Failed
SDL911382565,0,Duplicate update requests,Failed
SDL272871793,0,Duplicate update requests,Failed
SDL025053276,0,Duplicate update requests,Failed
SDL777748262,0,Duplicate update requests,Failed
SDL549258725,0,Duplicate update requests,Failed
SDL392192739,0,Duplicate update requests,Failed
SDL602013747,0,Duplicate update requests,Failed
SDL639874396,0,Duplicate update requests,Failed
SDL479191900,0,Duplicate update requests,Failed
SDL628941075,0,Duplicate update requests,Failed
SDL730080157,0,Duplicate update requests,Failed
SDL394431125,43,Duplicate update requests,Failed
SDL152280730,0,Duplicate update requests,Failed
SDL374528442,0,Duplicate update requests,Failed
SDL083175579,0,Duplicate update requests,Failed
SDL933948565,16,Duplicate update requests,Failed
SDL304016400,0,Duplicate update requests,Failed
SDL124376363,0,Duplicate update requests,Failed
SDL894049647,0,Duplicate update requests,Failed
